Words found
the, Times seen: 15
and, Times seen: 14
of, Times seen: 11
mentor, Times seen: 8
learning, Times seen: 7
machine, Times seen: 6
our, Times seen: 6
artificial, Times seen: 5
intelligence, Times seen: 5
on, Times seen: 5
workshop, Times seen: 5
is, Times seen: 4
for, Times seen: 4
meeting, Times seen: 4
uci, Times seen: 3
events, Times seen: 3
aiuci, Times seen: 3
we, Times seen: 3
to, Times seen: 3
from, Times seen: 3
you, Times seen: 3
data, Times seen: 3
i, Times seen: 3
in, Times seen: 3
chair, Times seen: 3
ai, Times seen: 2
us, Times seen: 2
team, Times seen: 2
a, Times seen: 2
that, Times seen: 2
applications, Times seen: 2
workshops, Times seen: 2
world, Times seen: 2
pscb, Times seen: 2
120, Times seen: 2
7pm, Times seen: 2
monday, Times seen: 2
only, Times seen: 2
some, Times seen: 2
dont, Times seen: 2
with, Times seen: 2
all, Times seen: 2
processing, Times seen: 2
computer, Times seen: 2
vision, Times seen: 2
1, Times seen: 2
alexander, Times seen: 2
ihler, Times seen: 2
work, Times seen: 2
my, Times seen: 2
president, Times seen: 2
kumar, Times seen: 2
michael, Times seen: 2
wang, Times seen: 2
web, Times seen: 2
shaping, Times seen: 1
future, Times seen: 1
follow, Times seen: 1
toggle, Times seen: 1
navigation, Times seen: 1
home, Times seen: 1
about, Times seen: 1
contact, Times seen: 1
were, Times seen: 1
at, Times seen: 1
university, Times seen: 1
california, Times seen: 1
irvine, Times seen: 1
nonprofit, Times seen: 1
studentrun, Times seen: 1
organization, Times seen: 1
focuses, Times seen: 1
promoting, Times seen: 1
cultivating, Times seen: 1
discipline, Times seen: 1
its, Times seen: 1
among, Times seen: 1
community, Times seen: 1
biweekly, Times seen: 1
hold, Times seen: 1
meetings, Times seen: 1
curious, Times seen: 1
ones, Times seen: 1
learn, Times seen: 1
latest, Times seen: 1
technology, Times seen: 1
espcially, Times seen: 1
connection, Times seen: 1
professionals, Times seen: 1
academia, Times seen: 1
almuni, Times seen: 1
industry, Times seen: 1
got, Times seen: 1
guys, Times seen: 1
connected, Times seen: 1
through, Times seen: 1
unique, Times seen: 1
seminars, Times seen: 1
time, Times seen: 1
6pm, Times seen: 1
past, Times seen: 1
those, Times seen: 1
who, Times seen: 1
couldnt, Times seen: 1
attend, Times seen: 1
due, Times seen: 1
space, Times seen: 1
constraints, Times seen: 1
worry, Times seen: 1
have, Times seen: 1
covered, Times seen: 1
catch, Times seen: 1
up, Times seen: 1
youtube, Times seen: 1
video, Times seen: 1
linked, Times seen: 1
below, Times seen: 1
presentations, Times seen: 1
seminar, Times seen: 1
generating, Times seen: 1
fake, Times seen: 1
dating, Times seen: 1
profiles, Times seen: 1
stylegan, Times seen: 1
spam, Times seen: 1
classification, Times seen: 1
ics, Times seen: 1
day, Times seen: 1
style, Times seen: 1
transferring, Times seen: 1
natural, Times seen: 1
language, Times seen: 1
hack, Times seen: 1
hackathon, Times seen: 1
opencv, Times seen: 1
3, Times seen: 1
2, Times seen: 1
qa, Times seen: 1
session, Times seen: 1
analytics, Times seen: 1
patterns, Times seen: 1
pallet, Times seen: 1
town, Times seen: 1
pt, Times seen: 1
professor, Times seen: 1
advisor, Times seen: 1
here, Times seen: 1
are, Times seen: 1
areas, Times seen: 1
he, Times seen: 1
has, Times seen: 1
been, Times seen: 1
working, Times seen: 1
focusing, Times seen: 1
statistical, Times seen: 1
methods, Times seen: 1
approximate, Times seen: 1
inference, Times seen: 1
techniques, Times seen: 1
graphical, Times seen: 1
models, Times seen: 1
include, Times seen: 1
mining, Times seen: 1
information, Times seen: 1
fusion, Times seen: 1
sensor, Times seen: 1
networks, Times seen: 1
image, Times seen: 1
computational, Times seen: 1
biology, Times seen: 1
amy, Times seen: 1
elsayed, Times seen: 1
jason, Times seen: 1
kahn, Times seen: 1
vice, Times seen: 1
pooja, Times seen: 1
secretary, Times seen: 1
uddeshya, Times seen: 1
treasurer, Times seen: 1
madhumitha, Times seen: 1
govindaraju, Times seen: 1
corporate, Times seen: 1
shivan, Times seen: 1
vipani, Times seen: 1
project, Times seen: 1
master, Times seen: 1
citizen, Times seen: 1
developer, Times seen: 1
maintain, Times seen: 1
update, Times seen: 1
content, Times seen: 1
website, Times seen: 1
over, Times seen: 1
year, Times seen: 1
kash, Times seen: 1
iz, Times seen: 1
marketing, Times seen: 1
omkar, Times seen: 1
pathak, Times seen: 1
lead, Times seen: 1
mathew, Times seen: 1
guerrero, Times seen: 1
historian, Times seen: 1
hero, Times seen: 1
elliot, Times seen: 1
alderson, Times seen: 1
like, Times seen: 1
house, Times seen: 1
leaves, Times seen: 1
zhang, Times seen: 1
andrew, Times seen: 1
laird, Times seen: 1
anthony, Times seen: 1
luu, Times seen: 1
brett, Times seen: 1
galkowski, Times seen: 1
eduardo, Times seen: 1
corona, Times seen: 1
monish, Times seen: 1
ramadoss, Times seen: 1
satyam, Times seen: 1
tandon, Times seen: 1
get, Times seen: 1
touch, Times seen: 1
infomation, Times seen: 1
6, Times seen: 1
email, Times seen: 1
aiatucigmailcom, Times seen: 1
thank, Times seen: 1
mailman, Times seen: 1
his, Times seen: 1
way, Times seen: 1
sorry, Times seen: 1
know, Times seen: 1
what, Times seen: 1
happened, Times seen: 1
try, Times seen: 1
later, Times seen: 1
design, Times seen: 1
developed, Times seen: 1
by, Times seen: 1
themefishercom, Times seen: 1
copyright, Times seen: 1
rights, Times seen: 1
reserved, Times seen: 1
